text,label
မိုက်ရိုင်းလိုက်တာ လူစိတ်ကောရှိကြသေးလား။, 3

ပညာမတတ်သူက..ခုစာမေးပွဲ ဘယ်သိမလဲ, 3

လူအများကြောက်ရွံ့စိတ်ဝင်အောင်အဲ့လိုမလုပ်ပါနဲ့, 3 

သူခိုးကို လွှတ်တော်အမတ်ခန့်မှတော့ ဒီတိုင်းပြည်မှမမွဲရင် ဘယ်တိုင်းပြည်ကမွဲဦးမှာလည်း, 3

ဘာကောင်တက်တက်တိုင်းပြည်ကောင်းလာစရာတစ်ကွက်မှမတွေ့, 3

အန်ကယ်ကတော့  နိုးပါ စိတ်လည်းမဝင်စားပါ, 3

နင်တို့မို့ အရှက်မရှိဟယ် လူပေါင်းများစွာသတ်ပြီးမှ ရလာတဲ့ ဒီနေရာ ပျော်နိူင်ကြလား, 3

ဦးနှောက် ပျက်နေသူတွေဦးဆောင်နေတိုင်းဘာဖြစ်နေလဲ ပရိတ်သတ်တို့, 4

ခိုးကြအုံးတော့မဲ့ ပြည်သူ့ဘဏ္ဍာတွေ! ကမ္ဘာ့ဂုဏ်သိက္ခာအရှက်မဲ့​တေ ရွံစရာကောင်းတယ်, 3

ကျက်သရေတုံးလိုက်တာရုပ်က, 3

လူယုတ်မာတွေ ချည်းပဲ..ငလျင်တုန်းကလွတ်တော်ပါပြိုပြားသွားရမှာ..ဒါမှခွေးတွေတက်မရအောင်.., 3

ဘယ်သူမှစိတ်မဝင်စားဘူး, 3

သေစမ်းခွေးမျိုးတွေ, 3

ဒီလောက်ရှင်းနေတာကိုတောင်မယုံကြရင်အဲ့ကောင်ဘောကွယ်နေလို့ပဲဖြစ်မယ်, 3

အေအေကအစောင့်လုံခြုံရေးတွေ တယောက်မှမသေတာ ထူးဆန်းပါ့, 5

ငါတစ်ယောက်ထဲပဲထမင်းမစားတာလားမသိ, 5

မြင်ရတာပီတိဖြစ်တယ်, 1

ဗမာအချင်းချင်းပေါ်တောင် ယုတ်မာတဲ့စစ်တပ်, 3

ခိုးရာပါတိုက်ရာပါစားနေတဲ့ တပ်မိသားစုဝင် တပ်ထောက်ခံသူတွေရဲ့မန့်တွေကြည့်ပြီးပါ အားရလိုက်တာ, 1

သံတိုင်တောင်မကွေးပဲလူရာချီသေတဲ့ဗုံးအဘတို့ထုတ်နိူင်ပြီလေးစားအဘရေ, 1

ဆင်​သေတာကိုဆိတ်သား​ရေနဲ့ဖုံးလို့မရဘူး, 3


မင်းပထွေး သူပုန်အကြမ်းတွေက ဖျက်ဆီးပစ်နေတာမင်းမသိဘူးလား, 3

အုံအုံတော့ ဂွမ်းပြန်ပြီ, 1

ထိမိ, 1

သူခိုးမလို့ပဲ လူသိများတာ ခင်ဗျားကို, 3

အကောင့် လုံး၀ရှာမရတော့ဘူး, 5

ပန်ပန်ကို အလုပ်ရှုပ် စိတ်ရှုပ်အောင်လုပ်နေတာနေမှာ, 4

အဘွားကြီးက ဂျေဝင်နေတာ, 3

ပြောချက်တွေ အားရ ပန်ပန်ရေ, 1

အဘိုးကြီးက ဝေဖန်ရေးနဲ့ လေကန်ရေးပဲရတယ်။, 3

အေးဟယ် သူပဲရေးတတ် ပြောတတ် အံဩရော, 5

ပြောချက်ကတော့လှပါ့, 1

အားကြီးနက်သာသာလုပ်ပါဟ, 1

‌ပြောတက်လိုက်တာ ထိမိဂွီ, 1

အဲ့မှာမပန် တကွက်ပြလိုက်ပီး, 1

ရှယ်ပီလေ, 1

လုပ်ထား, 1

ချစ်သဲပြုံးလေး, 2

ဖြစ်ညှစ်ပလိုက်ခြင်တယ်, 2

ချစ်တယ် သမီးလေးရေ, 2

ဘယ်လိုပဲဖြစ်ဖြစ် မင်းဘေးမှာ အမြဲရှိနေမယ်, 2

ဟီး, 1

၀ါးသလာဟေ့မောင်တို့, 1

စိတ်ပူတယ်နော် အပြင်သွားရင် သတိထားဦး, 2

ကိုရဲမင်းနဲအဖွဲသားအားလုံးကိုကျေဇူးအထူတင်ချီပါတယ်အဖွဲသားအားလုံလဲကျန်မားချမ်းသာပါစေးလိုဆုမူကောင်တောင်ပေလိုက်ပါတယ်, 1

တော်သေးတယ်, 1

ဘာကြောင့်အလုပ်ထုတ်ခံရလဲဆိုတော့ ဆီစျေးတက်လို့အလုပ်ရုံကလည်ပတ်မှူမရှိတာလားမှမသိတာ, 4

ဒါဟာ ထောင်ချောက်တစ်ခုလားလို့လဲ စဥ်းစားကြည့်ပါလား, 4

အလုပ်ဖြုတ်ခံရတဲ့သူတွေအတွက်တကယ်စိတ်မကောင်းဘူး, 0

အလုပ်တစ်ခုထပ်ရဖို့ဆိုတာမလွယ်ပါဘူး, 4

လေးလပိုင်းထဲ တစ်ထောင်ကျော် ထုပ်မယ်ကြာတယ် ကိုလဲ အပါဝင်ပေါ့, 4

သူ့ကိုဆိုဝေးဝေးရှောင်ပါ, 3

ထိုင်ဝမ်ကိုစစ်ရေးပြပြီး မြန်မာကိုသိမ်းပြီ, 4

ချီးစားတရုတ်, 3

ငါတို့နိုင်ငံကတော့ ဆုံးပါပီကွာ, 4

ရင်နာလို့မဆုံးဘူး, 0

တရုတ် နဲ့ ဘာဆိုင်လို့လဲ ကြောက်နေကြရင်တော့ ဖင့်ပါခံပေးကြတော့မှာ, 3

ကမ္ဘာ အရေးလေ တရုတ်က အမေရိကန် ကြောက်လို့ကြားခံဇုန်လုပ်တာ, 3

တယုတ်က ဘာလဲဟ, 5

တပ်ချုပ်လဲ ငါပဲ သမ္မတလဲငါပဲ မအလ အာဏာရူး, 3

ခွေး‌သရေချုံထားလိုက်, 3

ဘယ်လိုတောင်စောက်ရှက်မရှိတဲ့ဖါသယ်မသားလဲကွာ, 3

ခွေးကိုအကျ်ီဝတ်ပေးလဲခွေးကခွေးပါပဲ ဘယ်တော့မှလူဖြစ်မလာပါဘူး, 3

စာမတတ်ရင်အရှက်မရှိဘူးနော်။တကယ်ပဲ။, 3

ရှိသမျှရာထူး တယောက်ထဲဘဲယူပီး ရူးနေလိုက်ပါတော့ မအလရယ်, 3

တစ်နေ့တစ်မျိုး မရိုးနိုင်တဲ့ ကျားဖြန့်လူသတ်သမားကြီး ဘာပဲဝတ်ဝတ်ဟာပဲ, 3

ကိုယ်ဝတ်တော်ဘယ်လိုပြောင်းပြောင်းကျူးလွန်ထားတဲ့ပြစ်မှူတွေအတွက်တန်အောင်ပေးဆပ်ရမယ်, 3

ကျပ်မပြည့်တော့ဘူးထင်တယ်မင်းတို့လျောက်ရေး, 3

နီပိန်တွေ အိမ်မက်ကအဆန်းကြီး, 5

pdf တွေ သုံးလို့မရ တိုက်လို့မနိုင်တော့ ဆင်လီးခွေးမျော်, 3

ဖြစ်လာရင်တော့ အကောင်းဆုံးမှ အကောင်းဆုံးပဲ, 1

ဆုတောင်းလေ, 3

ကျနော်လဲ လိမ်ခံထိတယ် အကိုပဲလေ မပျောရဲလို့, 4

ရီးစားလိမ်သွားသာ အဲ့လောက်မခံစားဘူး, 0

အကိုလိမ်သွားတာအိပ်မရစားမရဖိနေတယ်တွေးပဲတွေးနေတယ်ငါဘာလို့အဲ့လောက် အသာလဲလို့, 0

မြန်မာစာအရင်သင်လို့ ဘယ်လိုတွေရေးနေလဲမသိဘူး။, 3

ခုလိုမလုပ်သင့်ပါဘူး ပြန်ပေးလိုက်ပါဗျာ, 2

ကျွန်တော်သူခိုးလုပ်ဖူးတယ်:3, 1

ဒီပုံတွေကို ဦးတင့်ဆွေ မြင်ရင် စိတ်ကောင်းမှာ မဟုတ်ဘူး။, 0

လုပ်ကွက်တွေပါကွာ အစစ် လား အတုလားတောင် မခွဲ တတ်ပဲ တစ်တော့ကနေ ဆက်သွယ် ဘာညာ သာဓကာ ဟာသ ပဲ, 1

ငါးသိန်းခြောက်သိန်းတန် ရက်ဒ်မီ ‌ပဲ ကိုင်လိုက်ကြမလား ညီကို တို့ မင်းတို့ကြိုက်ရင်လည်း ဝယ်နိုင်မယ့်ရုပ်တွေမဟုတ်လို့လေ, 3

အူကြောင်ကြောင် colour ကို ဘာလို့ copy လဲစဥ်းစားလို့မရ, 5

ဘယ်လိုနေနေ အရောင်ကိုမကြိုက်လို့ မကိုင်တော့ပါဘူး, 0

ကူးချလိုက်ကတည်းက အထင်ကို မကြီးတာပါခင်ဗျ, 3

ဒီဇိုင်း ပေါ်တင် ခေါ်ကိုးထားတာကြီးကို ဝယ်ရဲတဲ့ကောင်ဝယ်ပေါ့ မရှက်ရင်ပေါ့, 3

အဲဒီဖုန်းကကျန်တာအဆင်ပြေတယ်, 1

ဖုန်းအရမ်းပူတာနဲ့ဘက်ထရီသိပ်မခံတာကိုတော့သဘောမကျတာ, 0

အဲ့လောက်တူတာကြီးကျ မပျော်တော့ဘူး, 0

ဘယ်‌သူသေသေ ငါတော့ထောပြီ, 3

ဂရုစိုက်နော် ကိုယ့်အသက်, 2

အယ်လေ့ တိုးတက်အုံးမှာ, 1

ဖာဘိ အရက်ပုန်း ဖဲဝိုင်းနှစ်လုံးသုံးလုံးတွေဆက်ကြေးလိုက်ကောက်စားတဲ့ပုလိပ်ကိုရာထူးပေးတယိဆိုကတည်းကန
ရူးဂျီးအုပ်စုကသူခိုးဂျပိုးချင်းလိုင်းတူလို့ပေးတာလေ, 3

ကျော်မိုးထွန်းတို့ကြည်ပြာတိုးခိုးတဲ့ကိစ္စဖုံးဖိထားကတည်းအသိသာကြီး, 3

တော်လိုက်တာကွာ ငါနဲ့အတူတူပဲဟာကို သူကဝန်ကြီးဖြစ် ငါကတော့ ခွေးဖြစ်, 0

စီဒီအမ်ရဲတပ်ကြပ်လို့မရေးပါနဲ့ကွာ ရဲပြေးသူခိုးလို့ရေးပါကွာ, 3

ရဲပြေးသူခိုးတောင်ကာကွယ်ရေးဝံချီးဖြစ်တဲ့နွားယူးကြီးအာဆိုးယ, 3

ဝင်မန့်တဲ့ကောင်တွေ နှစ်၇၀လောက် ပေါ်တင်ခိုးလာတဲ့ စခ ခရိုနီ တသိုက်ကျ သောက်ပြစ်မတင်ကြဘူး, 3

ဖင်ခံ ပေါင်းရတာ အရသာတွေ့နေပုံပဲ, 3

မြန်မာပြည်မွဲနေတာ မင်းတို့ အဘတွေခေတ်ကထဲက ဆိုတာ ဦးနှောက်က ဉာဏ်ရည်မမှီလို့ မတွေးနိုင်ကြဘူးထင်တယ်, 3

တော်လှန်ရေးကို ပုံဖျက်ချင်ရုံသက်သက်နဲ့ အဓိပ္ပါယ်မရှိတဲ့ စကားတွေ နဲ့ ဖောင်းမထုကြနဲ့, 3

အာဏာရှင်အောက်ကကောင်တွေ အာဏာရှင်လေသံ တွေ ပေါက်လာပြီ, 3

ဖြစ်မှဖြစ်ရလေ, 2

သူခိုးဘဏ္ဏာရေးမှုးခန့်ဆိုတာဒါမျိုး, 3

ဒေသခံကစိုးရိမ်တာလားမင်းတို့သူပုန်တွေကစိုးရိမ်တာလား, 3

မစိုးရိမ်ပါနဲ့ကိုးကန့်အုပ်ချုပ်တာထက်မြန်မာအုပ်ချုပ်တာပိုကောင်းပါတယ်, 1

အဲဒီတကြောလုံးမှာရှိတဲ့အဖွဲ့အစည်းတွေအားလုံးဖယ်ပေးစေချင်တာ၊အရင်အတိုင်းဘဲပြန်ဖြစ်စေချင်ကြတာပြည်သူအများစုက။, 0

ဟုတ်လား မင်းအမေလင်သူပုန်အားပေးတွေထင်တယ်, 3

နိုင်ငံခြားကိုခေါ်ပြီး တောင်းရမ်းစားသောက်ခိုင်းလိုက်လေ, 3

ဖြစ်ရတယ် ပြည်သူအစစ်ကိုလည်းသွားမေးကြည့်အုံး, 3

မင်းတို့ အရိုးကိုက်လေးတွေ မျက်ရည်ပါကျသွားမယ်, 3

ဘာကိုစိုးရိမ်နေတာလဲ, 4

တရှတ်ကျွန်ဖြစ်ချင်လို့လားစိုးရိမ်တာက, 3
